#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
tree_oil                                          ([no block])                                                                     = Ê÷ÓÍ
seed_oil                                          ([no block])                                                                     = ÖÖ×ÓÓÍ
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = ²ÝÁÏÓÍ
mushroom_stew                                     ([no block])                                                                     = Ä¢¹½ìÒ
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
potion                                            ([no block])                                                                     = Ò©Ë®
potion_splash                                     ([no block])                                                                     = Åç½¦Ò©Ë®
potion_lingering                                  ([no block])                                                                     = ÖÍÁôÒ©Ë®
redstone                                          (thermalfoundation:fluid_redstone)                                               = ²»ÎÈÈÛÈÚºìÊ¯
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ³äÄÜÒºÌ¬Ó«Ê¯
ender                                             (thermalfoundation:fluid_ender)                                                  = Ð³ÕñÈÛÈÚÄ©Ó°ÕäÖé
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ÁÒÑæÖ®³ãìÍ
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ¼«º®Ö®ÁÝ±ù
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ·ÉÑïÖ®Çå·ç
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = °å¿éÖ®²ãÑÒ
mana                                              (thermalfoundation:fluid_mana)                                                   = ÔªÊ¼Ä§Á¦
platinum                                          ([no block])                                                                     = ÈÛÈÚ²¬
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        (immersiveengineering:molten_constantan)                                         = ÈÛÈÚ¿µÍ­
signalum                                          ([no block])                                                                     = ÈÛÈÚÐÅËØ
lumium                                            ([no block])                                                                     = ÈÛÈÚÁ÷Ã÷
enderium                                          ([no block])                                                                     = ÈÛÈÚÄ©Ó°¶§
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = Molten Crude Steel
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = Molten Crystalline Alloy
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = Molten Melodic Alloy
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = Molten Stellar Alloy
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = Molten Crystalline Pink Slime
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = Molten Energetic Silver
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = Molten Vivid Alloy
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = ²Ë×ÑÓÍ
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = ¾«ÖÆ²Ë×ÑÓÍ
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = ¾§»¯ÓÍ
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = ³äÄÜÓÍ
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ðÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ðÊô
fluidedmana                                       (extrabotany:fluidedmana)                                                        = ÒºÌ¬Ä§Á¦
oil_soul                                          ([no block])                                                                     = Áé»êÔ­ÓÍ
oil_dwarf                                         ([no block])                                                                     = °«ÈËÈ¼ÓÍ
gas_dwarf                                         ([no block])                                                                     = °«ÈËÈ¼Æø
dawnstone                                         (embers:dawnstone)                                                               = ÈÛÈÚÀèÃ÷Ê¯
alchemical_redstone                               (embers:alchemical_redstone)                                                     = Á¶½ðºìÊ¯½¬Òº
carbondioxide                                     (emergingtechnology:carbondioxideblock)                                          = ¶þÑõ»¯Ì¼
nutrient                                          (emergingtechnology:nutrientblock)                                               = ÓªÑøÒº
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Ê´¿ÌËá
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = ÒºÌ¬ËÜÁÏ
oil                                               (pneumaticcraft:fluid.oil)                                                       = Ê¯ÓÍ
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = ÆûÓÍ
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = ÃºÓÍ
diesel                                            (pneumaticcraft:fluid.diesel)                                                    = ²ñÓÍ
lubricant                                         (pneumaticcraft:fluid.lubricant)                                                 = Èó»¬ÓÍ
essence                                           (industrialforegoing:essence)                                                    = ¾«»ªÒº
milk                                              (industrialforegoing:milk)                                                       = Å£ÄÌ
meat                                              (industrialforegoing:meat)                                                       = ÈâÌÀ
latex                                             (industrialforegoing:latex)                                                      = ½ºÈé
sewage                                            (industrialforegoing:sewage)                                                     = ÎÛË®
sludge                                            (industrialforegoing:sludge)                                                     = ÎÛÄà
biofuel                                           (industrialforegoing:biofuel)                                                    = ÉúÎïÈ¼ÓÍ
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = ·ÛºìÊ·À³Ä·
if.protein                                        (industrialforegoing:if.protein)                                                 = µ°°×ÖÊ
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = ÃÅÈðÅ·Ê÷Ö¬
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = ×ÏËÌ¹û½¬
soulium                                           (mysticalagradditions:molten_soulium)                                            = ÈÛÈÚÀë»ê
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = ÈÛÈÚ»ù´¡¾«»ª
inferium                                          (mysticalagradditions:molten_inferium)                                           = ÈÛÈÚÏÂ¼¶¾«»ª
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = ÈÛÈÚ³õ¼¶¾«»ª
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = ÈÛÈÚÖÐ¼¶¾«»ª
superium                                          (mysticalagradditions:molten_superium)                                           = ÈÛÈÚ¸ß¼¶¾«»ª
supremium                                         (mysticalagradditions:molten_supremium)                                          = ÈÛÈÚÖÕ¼«¾«»ª
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Ö²ÎïÓÍ
ethanol                                           (immersiveengineering:fluidethanol)                                              = ÒÒ´¼
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = ÉúÎï²ñÓÍ
concrete                                          (immersiveengineering:fluidconcrete)                                             = ÒºÌ¬»ìÄýÍÁ
uranium                                           (immersiveengineering:molten_uranium)                                            = ÈÛÈÚÓË
molten_reinforced_pink_slime                      ([no block])                                                                     = ÈÛÈÚÇ¿»¯·ÛºìÊ·À³Ä·
sunnarium                                         ([no block])                                                                     = ÈÛÈÚÑô¹â»¯ºÏÎï
sky_stone                                         ([no block])                                                                     = ÈÛÈÚÔÉÊ¯
fluix_steel                                       ([no block])                                                                     = ÈÛÈÚ¸£Â³ÒÁ¿ËË¹¸Ö
starmetal                                         ([no block])                                                                     = ÈÛÈÚÐÇ»Ô
crystal_matrix                                    ([no block])                                                                     = ²»¶¨ÐÍË®¾§¾ØÕó
neutronium                                        ([no block])                                                                     = ³¬ÃÜÖÐ×ÓÁ÷Ìå
infinity_metal                                    ([no block])                                                                     = ÎÞ¾¡Ó¿Á÷
bound_metal                                       ([no block])                                                                     = ÈÛÈÚÊø¸¿½ðÊô
sentient_metal                                    ([no block])                                                                     = ¸ÐÖªÁ÷ÖÊ
livingrock                                        ([no block])                                                                     = ÈÛÈÚ»îÊ¯
manasteel                                         ([no block])                                                                     = ÈÛÈÚÄ§Á¦¸Ö
terrasteel                                        ([no block])                                                                     = ÈÛÈÚÌ©À­¸Ö
elementium                                        ([no block])                                                                     = ÈÛÈÚÔ´ÖÊ¸Ö
draconium                                         ([no block])                                                                     = ÈÛÈÚÁúËØ
wyvern_metal                                      ([no block])                                                                     = ·ÉÁú¾ÛºÏÎï
draconic_metal                                    ([no block])                                                                     = ÉñÁú¾ÛºÏÎï
chaotic_metal                                     ([no block])                                                                     = »ìãç½â¹¹ÖÊ
mica                                              ([no block])                                                                     = ÈÛÈÚÔÆÄ¸
essence_metal                                     ([no block])                                                                     = ÈÛÈÚÔÌÄ§Ô´ÖÊ
pink_metal                                        ([no block])                                                                     = ÈÛÈÚ·ÛÉ«½ðÊô
energetic_metal                                   ([no block])                                                                     = ÈÛÈÚÄÜÁ¿½ðÊô
universal_metal                                   ([no block])                                                                     = ¹²¾§UUºÏ½ð
osmium                                            ([no block])                                                                     = ÈÛÈÚï°
refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ð
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
thaumium                                          ([no block])                                                                     = ÈÛÈÚÉñÃØ
void_metal                                        ([no block])                                                                     = ÈÛÈÚÐé¿Õ½ðÊô
primal_metal                                      ([no block])                                                                     = ÈÛÈÚÔª½ð
mist.acid                                         (mist:acid_block)                                                                = ËáÒº
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
xpjuice                                           ([no block])                                                                     = ÒºÌ¬¾­Ñé
pure_matter                                       ([no block])                                                                     = fluid.pure_matter
preservationliquid                                (steamworld:preservationliquid)                                                  = Preservation Liquid
witheringliquid                                   (steamworld:witheringliquid)                                                     = Wither Liquid
ancite                                            (steamworld:molten_ancite)                                                       = Molten Ancite
steaite                                           (steamworld:molten_steaite)                                                      = Molten Steaite
galite                                            (steamworld:molten_galite)                                                       = Molten Galite
territe                                           (steamworld:molten_territe)                                                      = Molten Territe
essen                                             (steamworld:molten_essen)                                                        = Essen Alloy
vasholine                                         (tp:vasholine)                                                                   = Wub Wub Juice
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
clay                                              (tconstruct:molten_clay)                                                         = ÈÛÈÚÕ³ÍÁ
dirt                                              (tconstruct:molten_dirt)                                                         = ÒºÌ¬ÄàÍÁ
emerald                                           (tconstruct:molten_emerald)                                                      = ÈÛÈÚÂÌ±¦Ê¯
glass                                             (tconstruct:molten_glass)                                                        = ÈÛÈÚ²£Á§
blood                                             (tconstruct:blood)                                                               = Ñª
blueslime                                         (tconstruct:blueslime)                                                           = ÒºÌ¬À¶É«Ê·À³Ä·
purpleslime                                       (tconstruct:purpleslime)                                                         = ÒºÌ¬×ÏÉ«Ê·À³Ä·
lifeessence                                       (bloodmagic:life_essence)                                                        = ÉúÃüÔ´ÖÊ
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = Pure Metal
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = ÐÇÄÜÒº
astral_starmetal                                  (jaopca:fluid_moltenastralstarmetal)                                             = ÈÛÈÚÐÇ»Ô
lunar                                             (jaopca:fluid_moltenlunar)                                                       = ÈÛÈÚLunar
niobium                                           (jaopca:fluid_moltenniobium)                                                     = ÈÛÈÚNiobium
ec.internal.hydrogen                              ([no block])                                                                     = ÇâÆø
ec.internal.oxygen                                ([no block])                                                                     = ÑõÆø
ec.internal.water                                 ([no block])                                                                     = Ë®ÕôÆø
ec.internal.chlorine                              ([no block])                                                                     = ÂÈ
ec.internal.sulfurdioxide                         ([no block])                                                                     = ¶þÑõ»¯Áò
ec.internal.sulfurtrioxide                        ([no block])                                                                     = ÈýÑõ»¯Áò
ec.internal.sulfuricacid                          ([no block])                                                                     = ÁòËá
ec.internal.hydrogenchloride                      ([no block])                                                                     = ÂÈ»¯Çâ
ec.internal.ethene                                ([no block])                                                                     = ÒÒÏ©
ec.internal.sodium                                ([no block])                                                                     = ÄÆ
ec.internal.brine                                 ([no block])                                                                     = ÆøÌ¬ÑÎË®
ec.internal.deuterium                             ([no block])                                                                     = ë®
ec.internal.tritium                               ([no block])                                                                     = ë°
ec.internal.fusionfuel                            ([no block])                                                                     = D-TÈ¼ÁÏ
ec.internal.lithium                               ([no block])                                                                     = ï®
ec.internal.liquidosmium                          ([no block])                                                                     = ÒºÌ¬ï°
ec.internal.cleaniron                             ([no block])                                                                     = ´¿¾»Ìú½¬Òº
ec.internal.iron                                  ([no block])                                                                     = Ìú½¬Òº
ec.internal.cleangold                             ([no block])                                                                     = ´¿¾»½ð½¬Òº
ec.internal.gold                                  ([no block])                                                                     = ½ð½¬Òº
ec.internal.cleanosmium                           ([no block])                                                                     = ´¿¾»ï°½¬Òº
ec.internal.osmium                                ([no block])                                                                     = ï°½¬Òº
ec.internal.cleancopper                           ([no block])                                                                     = ´¿¾»Í­½¬Òº
ec.internal.copper                                ([no block])                                                                     = Í­½¬Òº
ec.internal.cleantin                              ([no block])                                                                     = ´¿¾»Îý½¬Òº
ec.internal.tin                                   ([no block])                                                                     = Îý½¬Òº
ec.internal.cleansilver                           ([no block])                                                                     = ´¿¾»Òø½¬Òº
ec.internal.silver                                ([no block])                                                                     = Òø½¬Òº
ec.internal.cleanlead                             ([no block])                                                                     = ´¿¾»Ç¦½¬Òº
ec.internal.lead                                  ([no block])                                                                     = Ç¦½¬Òº
ec.internal.slurrycleanaluminium                  ([no block])                                                                     = ´¿¾»ÂÁ½¬Òº
ec.internal.slurrycleanancite                     ([no block])                                                                     = ´¿¾»Ancite½¬Òº
ec.internal.slurrycleanardite                     ([no block])                                                                     = ´¿¾»°¢µÏÌØ½¬Òº
ec.internal.slurrycleanastralstarmetal            ([no block])                                                                     = ´¿¾»ÐÇ»Ô½¬Òº
ec.internal.slurrycleancobalt                     ([no block])                                                                     = ´¿¾»îÜ½¬Òº
ec.internal.slurrycleandraconium                  ([no block])                                                                     = ´¿¾»Áú½¬Òº
ec.internal.slurrycleanender                      ([no block])                                                                     = ´¿¾»Ä©Ó°½¬Òº
ec.internal.slurrycleangalite                     ([no block])                                                                     = ´¿¾»Galite½¬Òº
ec.internal.slurrycleaniridium                    ([no block])                                                                     = ´¿¾»Ò¿½¬Òº
ec.internal.slurrycleanlunar                      ([no block])                                                                     = ´¿¾»Lunar½¬Òº
ec.internal.slurrycleanmithril                    ([no block])                                                                     = ´¿¾»ÃØÒø½¬Òº
ec.internal.slurrycleannickel                     ([no block])                                                                     = ´¿¾»Äø½¬Òº
ec.internal.slurrycleanniobium                    ([no block])                                                                     = ´¿¾»Niobium½¬Òº
ec.internal.slurrycleanplatinum                   ([no block])                                                                     = ´¿¾»²¬½¬Òº
ec.internal.slurrycleansteaite                    ([no block])                                                                     = ´¿¾»Steaite½¬Òº
ec.internal.slurrycleantitanium                   ([no block])                                                                     = ´¿¾»îÑ½¬Òº
ec.internal.slurrycleanuranium                    ([no block])                                                                     = ´¿¾»ÓË½¬Òº
ec.internal.slurrycleanyellorium                  ([no block])                                                                     = ´¿¾»»ÆÓË½¬Òº
ec.internal.slurryaluminium                       ([no block])                                                                     = ÂÁ½¬Òº
ec.internal.slurryancite                          ([no block])                                                                     = Ancite½¬Òº
ec.internal.slurryardite                          ([no block])                                                                     = °¢µÏÌØ½¬Òº
ec.internal.slurryastralstarmetal                 ([no block])                                                                     = ÐÇ»Ô½¬Òº
ec.internal.slurrycobalt                          ([no block])                                                                     = îÜ½¬Òº
ec.internal.slurrydraconium                       ([no block])                                                                     = Áú½¬Òº
ec.internal.slurryender                           ([no block])                                                                     = Ä©Ó°½¬Òº
ec.internal.slurrygalite                          ([no block])                                                                     = Galite½¬Òº
ec.internal.slurryiridium                         ([no block])                                                                     = Ò¿½¬Òº
ec.internal.slurrylunar                           ([no block])                                                                     = Lunar½¬Òº
ec.internal.slurrymithril                         ([no block])                                                                     = ÃØÒø½¬Òº
ec.internal.slurrynickel                          ([no block])                                                                     = Äø½¬Òº
ec.internal.slurryniobium                         ([no block])                                                                     = Niobium½¬Òº
ec.internal.slurryplatinum                        ([no block])                                                                     = ²¬½¬Òº
ec.internal.slurrysteaite                         ([no block])                                                                     = Steaite½¬Òº
ec.internal.slurrytitanium                        ([no block])                                                                     = îÑ½¬Òº
ec.internal.slurryuranium                         ([no block])                                                                     = ÓË½¬Òº
ec.internal.slurryyellorium                       ([no block])                                                                     = »ÆÓË½¬Òº
