#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
fluix_steel                                       ([no block])                                                                     = ÈÛÈÚ¸£Â³ÒÁ¿ËË¹¸Ö
starmetal                                         ([no block])                                                                     = ÈÛÈÚĞÇ»Ô
crystal_matrix                                    ([no block])                                                                     = ²»¶¨ĞÍË®¾§¾ØÕó
neutronium                                        ([no block])                                                                     = ³¬ÃÜÖĞ×ÓÁ÷Ìå
infinity_metal                                    ([no block])                                                                     = ÎŞ¾¡Ó¿Á÷
bound_metal                                       ([no block])                                                                     = ÈÛÈÚÊø¸¿½ğÊô
sentient_metal                                    ([no block])                                                                     = ¸ĞÖªÁ÷ÖÊ
livingrock                                        ([no block])                                                                     = ÈÛÈÚ»îÊ¯
manasteel                                         ([no block])                                                                     = ÈÛÈÚÄ§Á¦¸Ö
terrasteel                                        ([no block])                                                                     = ÈÛÈÚÌ©À­¸Ö
elementium                                        ([no block])                                                                     = ÈÛÈÚÔ´ÖÊ¸Ö
draconium                                         ([no block])                                                                     = ÈÛÈÚÁúËØ
wyvern_metal                                      ([no block])                                                                     = ·ÉÁú¾ÛºÏÎï
draconic_metal                                    ([no block])                                                                     = ÉñÁú¾ÛºÏÎï
chaotic_metal                                     ([no block])                                                                     = »ìãç½â¹¹ÖÊ
mica                                              ([no block])                                                                     = ÈÛÈÚÔÆÄ¸
essence_metal                                     ([no block])                                                                     = ÈÛÈÚÔÌÄ§Ô´ÖÊ
pink_metal                                        ([no block])                                                                     = ÈÛÈÚ·ÛÉ«½ğÊô
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
osmium                                            ([no block])                                                                     = ÈÛÈÚï°
refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ğ
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
tin                                               (tconstruct:molten_tin)                                                          = ÈÛÈÚÎı
aluminum                                          (tconstruct:molten_aluminum)                                                     = ÈÛÈÚÂÁ
nickel                                            (tconstruct:molten_nickel)                                                       = ÈÛÈÚÄø
platinum                                          ([no block])                                                                     = ÈÛÈÚ²¬
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        (immersiveengineering:molten_constantan)                                         = ÈÛÈÚ¿µÍ­
signalum                                          ([no block])                                                                     = ÈÛÈÚĞÅËØ
lumium                                            ([no block])                                                                     = ÈÛÈÚÁ÷Ã÷
enderium                                          ([no block])                                                                     = ÈÛÈÚÄ©Ó°¶§
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
brass                                             (tconstruct:molten_brass)                                                        = ÈÛÈÚ»ÆÍ­
zinc                                              (tconstruct:molten_zinc)                                                         = ÈÛÈÚĞ¿
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
gold                                              (tconstruct:molten_gold)                                                         = ÈÛÈÚ½ğ
