#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ğ
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
tin                                               (tconstruct:molten_tin)                                                          = ÈÛÈÚÎı
aluminum                                          (tconstruct:molten_aluminum)                                                     = ÈÛÈÚÂÁ
nickel                                            (tconstruct:molten_nickel)                                                       = ÈÛÈÚÄø
platinum                                          ([no block])                                                                     = ÈÛÈÚ²¬
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        (immersiveengineering:molten_constantan)                                         = ÈÛÈÚ¿µÍ­
signalum                                          ([no block])                                                                     = ÈÛÈÚĞÅËØ
lumium                                            ([no block])                                                                     = ÈÛÈÚÁ÷Ã÷
enderium                                          (thermalfoundation:enderium)                                                     = ÈÛÈÚÄ©Ó°
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = ÈÛÈÚ´Ö¸Ö
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = ÈÛÈÚ¾§»¯ºÏ½ğ
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = ÈÛÈÚĞıÂÉºÏ½ğ
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = ÈÛÈÚºãĞÇºÏ½ğ
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = ÈÛÈÚ¾§»¯·ÛºìÕ³Òº
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = ÈÛÈÚ³äÄÜÒø
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = ÈÛÈÚÉú¶¯ºÏ½ğ
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ÈÛÈÚ³ãÌú
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ÈÛÈÚÆïÊ¿½ğÊô
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
iron                                              (tconstruct:molten_iron)                                                         = ÈÛÈÚÌú
pigiron                                           (tconstruct:molten_pigiron)                                                      = ÈÛÈÚÉúÌú
knightslime                                       (tconstruct:molten_knightslime)                                                  = ÈÛÈÚÆïÊ¿Ê·À³Ä·
cobalt                                            (tconstruct:molten_cobalt)                                                       = ÈÛÈÚîÜ
ardite                                            (tconstruct:molten_ardite)                                                       = ÈÛÈÚ°¢µÏÌØ
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ÈÛÈÚÂêÓñÁé
copper                                            (tconstruct:molten_copper)                                                       = ÈÛÈÚÍ­
bronze                                            (tconstruct:molten_bronze)                                                       = ÈÛÈÚÇàÍ­
lead                                              (tconstruct:molten_lead)                                                         = ÈÛÈÚÇ¦
silver                                            (tconstruct:molten_silver)                                                       = ÈÛÈÚÒø
electrum                                          (tconstruct:molten_electrum)                                                     = ÈÛÈÚçúçê½ğ
steel                                             (tconstruct:molten_steel)                                                        = ÈÛÈÚ¸Ö
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ğÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ğÊô
amordrine                                         (metallurgy:molten_amordrine)                                                    = ÈÛÈÚÄ§Ê¯
haderoth                                          (metallurgy:molten_haderoth)                                                     = ÈÛÈÚ»ÃÍ­
alduorite                                         (metallurgy:molten_alduorite)                                                    = ÈÛÈÚÉñÃØÀ¶½ğ
vulcanite                                         (metallurgy:molten_vulcanite)                                                    = ÈÛÈÚÈÛÑÒ½á¾§
ignatius                                          (metallurgy:molten_ignatius)                                                     = ÈÛÈÚÒÁ¸ñÄÚĞŞË¹
etherium                                          (metallurgy:molten_etherium)                                                     = ÈÛÈÚÒÔÌ«
brass                                             (metallurgy:molten_brass)                                                        = ÈÛÈÚ»ÆÍ­
astral_silver                                     (metallurgy:molten_astral_silver)                                                = ÈÛÈÚĞÇÒø
hepatizon                                         (metallurgy:molten_hepatizon)                                                    = ÈÛÈÚ»ê¾§
lemurite                                          (metallurgy:molten_lemurite)                                                     = ÈÛÈÚÀûÄªÀûÑÇ
sanguinite                                        (metallurgy:molten_sanguinite)                                                   = ÈÛÈÚìÍÓü
eximite                                           (metallurgy:molten_eximite)                                                      = ÈÛÈÚĞé¿ÕÊ¯
desichalkos                                       (metallurgy:molten_desichalkos)                                                  = ÈÛÈÚĞé¿Õ»êÊ¯
celenegil                                         (metallurgy:molten_celenegil)                                                    = ÈÛÈÚÓÄÚ¤¶¾¾§
shadow_iron                                       (metallurgy:molten_shadow_iron)                                                  = ÈÛÈÚ°µÓ°Ìú
carmot                                            (metallurgy:molten_carmot)                                                       = ÈÛÈÚÒ«½ğ
mithril                                           (metallurgy:molten_mithril)                                                      = ÈÛÈÚÃØÒø
ceruclase                                         (metallurgy:molten_ceruclase)                                                    = ÈÛÈÚ°µÓ°ÃØÒø
deep_iron                                         (metallurgy:molten_deep_iron)                                                    = ÈÛÈÚÉîÌú
angmallen                                         (metallurgy:molten_angmallen)                                                    = ÈÛÈÚ½ğÌú
manganese                                         (metallurgy:molten_manganese)                                                    = ÈÛÈÚÃÌ
kalendrite                                        (metallurgy:molten_kalendrite)                                                   = ÈÛÈÚÓÄÚ¤»êÊ¯
damascus_steel                                    (metallurgy:molten_damascus_steel)                                               = ÈÛÈÚ´óÂíÊ¿¸ï¸Ö
prometheum                                        (metallurgy:molten_prometheum)                                                   = ÈÛÈÚ»Ã½ğ
adamantine                                        (metallurgy:molten_adamantine)                                                   = ÈÛÈÚ¾«½ğ
tartarite                                         (metallurgy:molten_tartarite)                                                    = ÈÛÈÚÈÛ»ğÊ¯
atlarus                                           (metallurgy:molten_atlarus)                                                      = ÈÛÈÚ½ğ×ê
vyroxeres                                         (metallurgy:molten_vyroxeres)                                                    = ÈÛÈÚÓÄÚ¤¾ç¶¾¾§
black_steel                                       (metallurgy:molten_black_steel)                                                  = ÈÛÈÚºÚ¸Ö
lutetium                                          (metallurgy:molten_lutetium)                                                     = ÈÛÈÚïå
oureclase                                         (metallurgy:molten_oureclase)                                                    = ÈÛÈÚµØ¾§
inolashite                                        (metallurgy:molten_inolashite)                                                   = ÈÛÈÚ°µÓ°ÃØÒø
meutoite                                          (metallurgy:molten_meutoite)                                                     = ÈÛÈÚÁú»êÊ¯
orichalcum                                        (metallurgy:molten_orichalcum)                                                   = ÈÛÈÚ°ÂÀû¹ş¶û¸Ö
infuscolium                                       (metallurgy:molten_infuscolium)                                                  = ÈÛÈÚÄ§½ğ
midasium                                          (metallurgy:molten_midasium)                                                     = ÈÛÈÚÈÛ»ğ½ğ
shadow_steel                                      (metallurgy:molten_shadow_steel)                                                 = ÈÛÈÚ°µÓ°¸Ö
krik                                              (metallurgy:molten_krik)                                                         = ÈÛÈÚë´Àï
rubracium                                         (metallurgy:molten_rubracium)                                                    = ÈÛÈÚºÖÍ­
soulium                                           (mysticalagradditions:molten_soulium)                                            = ÈÛÈÚÀë»ê
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = ÈÛÈÚ»ù´¡¾«»ª
inferium                                          (mysticalagradditions:molten_inferium)                                           = ÈÛÈÚÏÂ¼¶¾«»ª
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = ÈÛÈÚ³õ¼¶¾«»ª
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = ÈÛÈÚÖĞ¼¶¾«»ª
superium                                          (mysticalagradditions:molten_superium)                                           = ÈÛÈÚ¸ß¼¶¾«»ª
supremium                                         (mysticalagradditions:molten_supremium)                                          = ÈÛÈÚÖÕ¼«¾«»ª
zinc                                              (tconstruct:molten_zinc)                                                         = ÈÛÈÚĞ¿
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = ÈÛÈÚÔ´ÖÊ¸Ö
yellorium                                         (tconstruct:molten_yellorium)                                                    = ÈÛÈÚ»ÆÓË
cyanite                                           (tconstruct:molten_cyanite)                                                      = ÈÛÈÚÀ¶¾§Ê¯
blutonium                                         (tconstruct:molten_blutonium)                                                    = ÈÛÈÚÀ¶îĞ
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = ÈÛÈÚ´¿ïå
psi                                               (tconstruct:molten_psi)                                                          = ÈÛÈÚPsi½ğÊô
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = ÈÛÈÚÎÚºÚPsi½ğÊô
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = ÈÛÈÚÈé°×Psi½ğÊô
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = ÈÛÈÚºìÊ¯çúçê½ğ
refinediron                                       (tconstruct:molten_refinediron)                                                  = ÈÛÈÚ¾«Ìú
tungsten                                          (tconstruct:molten_tungsten)                                                     = ÈÛÈÚÎÙ
titanium                                          (tconstruct:molten_titanium)                                                     = ÈÛÈÚîÑ
chrome                                            (tconstruct:molten_chrome)                                                       = ÈÛÈÚ¸õ
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = ÈÛÈÚ¸ß¼¶ºÏ½ğ
gold                                              (tconstruct:molten_gold)                                                         = ÈÛÈÚ½ğ
